long,lat,price_per_sqft
-122.257,47.5112,188.050847457627
-122.319,47.721,209.338521400778
-122.233,47.7379,233.766233766234
-122.393,47.5208,308.163265306122
-122.045,47.6168,303.571428571429
-122.005,47.6561,226.937269372694
-122.327,47.3097,150.145772594752
-122.315,47.4095,275.330188679245
-122.337,47.5123,128.932584269663
-122.031,47.3684,170.899470899471
-122.145,47.6007,186.095505617978
-122.292,47.69,403.448275862069
-122.229,47.7558,216.783216783217
-122.045,47.6127,291.970802919708
-122.394,47.67,292.817679558011
-122.375,47.5714,220.338983050847
-121.962,47.7277,208.994708994709
-122.343,47.6648,303.125
-122.21,47.3089,157.5
-122.306,47.3343,184
-122.341,47.7025,237.654320987654
-122.233,47.5316,655.737704918033
-122.169,47.3266,125.550660792952
-122.166,47.3533,236.168224299065
-122.172,47.3739,134.285714285714
-122.218,47.3048,136.25730994152
-122.36,47.6386,382.448979591837
-122.314,47.6221,476.428571428571
-122.304,47.695,288.157894736842
-122.11,47.7073,279.766536964981
-122.07,47.5391,250.215517241379
-122.357,47.7274,235.294117647059
-122.368,47.6823,295.064377682403
-122.375,47.6889,490.825688073394
-122.157,47.4276,156.553398058252
-122.31,47.6827,302.608695652174
-122.132,47.6621,331.325301204819
-122.362,47.6702,271.186440677966
-122.282,47.3341,196.72131147541
-122.18,47.5301,230.916030534351
-122.027,47.6145,243.190661478599
-122.347,47.445,183.649289099526
-122.016,47.6848,239.774687065369
-122.364,47.6413,436.305732484076
-122.175,47.4485,241.40625
-121.977,47.7443,154.430379746835
-122.371,47.3066,212.616161616162
-122.151,47.6194,342.794759825328
-122.301,47.6796,360
-122.451,47.4041,490.374137304758
-122.322,47.4258,191.596638655462
-122.189,47.4934,109.52380952381
-122.384,47.6808,425.531914893617
-122.369,47.6989,295.454545454545
-122.281,47.6571,336.996336996337
-122.29,47.6597,312.720848056537
-122.114,47.3663,130
-122.122,47.3663,124.380165289256
-122.116,47.588,292.615384615385
-122.149,47.5059,232.432432432432
-122.339,47.4336,302.325581395349
-122.335,47.4366,229.365079365079
-122.344,47.4428,200.476379515681
-122.32,47.6765,356.493506493507
-122.297,47.6113,256.024096385542
-122.304,47.5747,114.666064981949
-122.192,47.5815,358.455882352941
-122.257,47.3378,128.125
-122.11,47.3621,204
-122.215,47.6303,415.625
-122.16,47.6525,218.029350104822
-122.179,47.7362,257.936507936508
-122.287,47.7168,207.636363636364
-122.036,47.3608,151.260504201681
-122.073,47.3511,194.972067039106
-121.987,47.5822,242.711370262391
-122.125,47.6034,215.909090909091
-122.394,47.5636,461.538461538462
-122.34,47.7073,290.780141843972
-122.025,47.342,208.695652173913
-122.008,47.3512,165.957446808511
-122.031,47.349,189.473684210526
-122.291,47.5474,175.742574257426
-122.149,47.4811,211.904761904762
-122.31,47.7264,328.125
-122.365,47.6337,439.252336448598
-122.189,47.2909,114.661654135338
-122.199,47.5228,166.425992779783
-122.194,47.518,133.540372670807
-122.387,47.5394,325.242718446602
-122.372,47.2897,122.979797979798
-122.391,47.6506,312.5
-122.351,47.322,127.5
-122.386,47.687,272.151898734177
-122.386,47.687,443.037974683544
-122.249,47.5873,274.242424242424
-122.277,47.3576,126.275510204082
-122.378,47.3036,171.551724137931
-121.958,47.4109,173.480662983425
-121.714,47.4838,188.577586206897
-122.315,47.6415,411.028985507246
-122.372,47.6775,280.30303030303
-122.08,47.7731,319.611872146119
-122.196,47.5814,373.287671232877
-122.184,47.4375,239.669421487603
-122.133,47.4431,160.25641025641
-122.38,47.6878,275.449101796407
-122.322,47.3813,152.016129032258
-122.082,47.7304,216.56050955414
-122.109,47.6417,231.527093596059
-122.053,47.5386,258.766233766234
-122.349,47.6823,452.380952380952
-122.031,47.3624,176.948051948052
-122.295,47.5474,158.629807692308
-122.253,47.3183,148.606811145511
-122.368,47.6981,169.063926940639
-122.347,47.6824,326.100628930818
-122.248,47.5009,233.4375
-122.303,47.4965,109.426751592357
